英文,中文,类别,模块
24 Hours,24 小时,module,Magento_AdminNotification
critical,重要,module,Magento_AdminNotification
major,主要,module,Magento_AdminNotification
minor,次要,module,Magento_AdminNotification
notice,通知,module,Magento_AdminNotification
Wrong message type,错误消息类型,module,Magento_AdminNotification
Wrong notification ID specified.,指定ID的错误通知,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}}不建议在生产环境中使用声称Base Unsecure URL / Base Secure URL， 我们强烈建议在您的Magento<a href=""%1"">配置</a>更改此值。",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1.,一个或多个高速缓存的类型的被无效：%1。,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","请转至<a href=""%1"">缓存管理</a>并刷新缓存的类型。",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,我们无法同步一个或多个媒体文件，请参阅相关详细信息的日志文件。,module,Magento_AdminNotification
Synchronization of media storages has been completed.,媒体库同步已完成。,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,您的网络服务器配置不正确， 因此，可从外部访问有敏感信息的配置文件。请联系您的服务器托管商。,module,Magento_AdminNotification
System Messages:,系统消息:,module,Magento_AdminNotification
Critical System Messages,关键系统消息,module,Magento_AdminNotification
Major System Messages,主要系统消息,module,Magento_AdminNotification
System messages,系统消息,module,Magento_AdminNotification
Close,关闭,module,Magento_AdminNotification
See All (,查看全部（,module,Magento_AdminNotification
unread),条未读）,module,Magento_AdminNotification
Show Toolbar,显示工具栏,module,Magento_AdminNotification
Show List,显示列表,module,Magento_AdminNotification
Use HTTPS to Get Feed,使用 HTTPS 获取订阅源,module,Magento_AdminNotification
Update Frequency,更新频率,module,Magento_AdminNotification
Last Update,最近更新,module,Magento_AdminNotification
Severity,严重,module,Magento_AdminNotification
Date Added,添加日期,module,Magento_AdminNotification
Message,信息,module,Magento_AdminNotification
Actions,操作,module,Magento_AdminNotification
Manage Shopping Cart,管理的购物车,module,Magento_AdvancedCheckout
Create Order,创建订单,module,Magento_AdvancedCheckout
Back,后退,module,Magento_AdvancedCheckout
Add Products,添加产品,module,Magento_AdvancedCheckout
Update Items and Quantities,更新产品及数量,module,Magento_AdvancedCheckout
Are you sure you want to clear your cart?,你确定要清除您的购物车？,module,Magento_AdvancedCheckout
Clear my shopping cart,清除我的购物车,module,Magento_AdvancedCheckout
Add selections to my cart,选择添加到我的购物车,module,Magento_AdvancedCheckout
Cancel,取消,module,Magento_AdvancedCheckout
Shopping Cart for %1 in %2,%2的购物车为%1,module,Magento_AdvancedCheckout
Select products you want to buy,你想购买产品的选择,module,Magento_AdvancedCheckout
Product,产品,module,Magento_AdvancedCheckout
Price,价格,module,Magento_AdvancedCheckout
Quantity,数量,module,Magento_AdvancedCheckout
Products in the Comparison List (%1),在产品的比较列表（%1）,module,Magento_AdvancedCheckout
Last ordered items (%1),排在最后的项目（%1）,module,Magento_AdvancedCheckout
Products,产品,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedCheckout
SKU,SKU,module,Magento_AdvancedCheckout
Recently Compared Products (%1),最近比较产品（%1）,module,Magento_AdvancedCheckout
Recently Viewed Products (%1),最近浏览过的产品（%1）,module,Magento_AdvancedCheckout
Add to Shopping Cart by SKU,加入购物车通过SKU,module,Magento_AdvancedCheckout
Add to Shopping Cart,加入购物车,module,Magento_AdvancedCheckout
Wish List (%1),愿望清单（%1）,module,Magento_AdvancedCheckout
Apply,应用,module,Magento_AdvancedCheckout
Configure,配置,module,Magento_AdvancedCheckout
Add to Order by SKU,通过添加SKU订购,module,Magento_AdvancedCheckout
Add to Order,添加到订单,module,Magento_AdvancedCheckout
Add Products to Order,将产品添加到订单,module,Magento_AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>",module,Magento_AdvancedCheckout
Remove All,移除所有,module,Magento_AdvancedCheckout
Only %1%2%3 left in stock,只有%1 %2 %3的股票离开,module,Magento_AdvancedCheckout
You can buy up to %1 of these per purchase.,你可以购买到这些每次购买%1。,module,Magento_AdvancedCheckout
You must buy at least %1 of these per purchase.,你必须至少购买％的这些1元购机。,module,Magento_AdvancedCheckout
Specify the product's options.,指定产品的选择。,module,Magento_AdvancedCheckout
Alert me when this item is available.,提醒我，当此项目可用。,module,Magento_AdvancedCheckout
We can't find this customer.,我们找不到这个客户。,module,Magento_AdvancedCheckout
Shopping cart management is disabled for this customer.,购物车管理该客户禁用。,module,Magento_AdvancedCheckout
We can't find this store.,我们无法找到这家店。,module,Magento_AdvancedCheckout
Customers,客户,module,Magento_AdvancedCheckout
Shopping Cart,购物车,module,Magento_AdvancedCheckout
"Sorry, something went wrong. You can find out more in the error log.",抱歉，出问题了。你可以在错误日志中找到更多的信息。,module,Magento_AdvancedCheckout
You do not have access to this.,你没有访问此。,module,Magento_AdvancedCheckout
Ordered item id is not received.,订购产品ID没有收到。,module,Magento_AdvancedCheckout
Ordered item is not loaded.,订购项目未加载。,module,Magento_AdvancedCheckout
Quote item id is not received.,报价产品没有收到。,module,Magento_AdvancedCheckout
Quote item is not loaded.,报价产品没有加载。,module,Magento_AdvancedCheckout
The wish list item id is not received.,愿望列表项的ID没有收到。,module,Magento_AdvancedCheckout
The wish list item is not loaded.,在愿望清单项目未加载。,module,Magento_AdvancedCheckout
An error has occurred. See error log for details.,发生了错误。看到错误日志的详细信息。,module,Magento_AdvancedCheckout
You cannot configure a product.,您不能配置的产品。,module,Magento_AdvancedCheckout
You removed the items.,你删除的项目。,module,Magento_AdvancedCheckout
You removed the item.,您删除的项目。,module,Magento_AdvancedCheckout
You added %1 to your shopping cart.,您已添加%1到您的购物车,module,Magento_AdvancedCheckout
You cannot add a product.,不能添加的产品。,module,Magento_AdvancedCheckout
Order by SKU,按SKU订购,module,Magento_AdvancedCheckout
SKU not found in catalog.,SKU产品目录中没有发现。,module,Magento_AdvancedCheckout
Availability: Out of stock.,可用性：缺货。,module,Magento_AdvancedCheckout
We don't have as many of these as you want.,我们没有尽可能多的，只要你想。,module,Magento_AdvancedCheckout
You can't add this many to your cart.,您不能添加这么多你的车。,module,Magento_AdvancedCheckout
You need to choose options for your item.,你需要选择你的产品的选择。,module,Magento_AdvancedCheckout
We can't add the item to your cart.,我们无法将商品添加到购物车。,module,Magento_AdvancedCheckout
"Please enter an actual number in the ""Qty"" field.",请在“数量”栏输入实际数量。,module,Magento_AdvancedCheckout
This product is assigned to another website.,该产品被分配到另一个网站。,module,Magento_AdvancedCheckout
You can add only enabled products.,你可以只添加功能的产品。,module,Magento_AdvancedCheckout
You cannot upload this file.,你不能上传此文件。,module,Magento_AdvancedCheckout
The file is empty.,该文件是空的。,module,Magento_AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.",module,Magento_AdvancedCheckout
You have not entered a product SKU.,您还没有输入产品SKU。,module,Magento_AdvancedCheckout
"We can't add a product to cart by id ""%1"".","我们可以在产品不能添加到购物车由ID为 ""%1""。",module,Magento_AdvancedCheckout
Something went wrong while reordering this product.,而重排该产品出事了。,module,Magento_AdvancedCheckout
We can't find this wish list.,我们找不到这个收藏夹。,module,Magento_AdvancedCheckout
You added %1 product to your shopping cart.,您添加%1的产品到您的购物车。,module,Magento_AdvancedCheckout
You added %1 products to your shopping cart.,您添加%1的产品到您的购物车。,module,Magento_AdvancedCheckout
%1 product requires your attention.,%1产品需要您的关注。,module,Magento_AdvancedCheckout
%1 products require your attention.,%1的产品需要你的关注。,module,Magento_AdvancedCheckout
"Yes, for Specified Customer Groups",是的，指定的客户群,module,Magento_AdvancedCheckout
"Yes, for Everyone",是的，为大家,module,Magento_AdvancedCheckout
No,否,module,Magento_AdvancedCheckout
The file is corrupt.,该文件已损坏。,module,Magento_AdvancedCheckout
Please upload the file in .csv format.,请上传.csv格式文件。,module,Magento_AdvancedCheckout
%1 item(s) need your attention.,%1项目需要你的关注。,module,Magento_AdvancedCheckout
Apply Coupon Code,适用的优惠券代码,module,Magento_AdvancedCheckout
Remove Coupon Code,删除优惠券代码,module,Magento_AdvancedCheckout
Remove,删除,module,Magento_AdvancedCheckout
"The coupon code ""%1"" is not valid.",编辑产品参数,module,Magento_AdvancedCheckout
Shopping Cart Items,购物车里的产品,module,Magento_AdvancedCheckout
Qty,数量,module,Magento_AdvancedCheckout
Subtotal,小计,module,Magento_AdvancedCheckout
Discount,折扣,module,Magento_AdvancedCheckout
Row Subtotal,行小计,module,Magento_AdvancedCheckout
Action,操作,module,Magento_AdvancedCheckout
No ordered items,没有订购项,module,Magento_AdvancedCheckout
Total %1 product(s),总计 %1 产品,module,Magento_AdvancedCheckout
Subtotal:,小计：,module,Magento_AdvancedCheckout
Please select,请选择,module,Magento_AdvancedCheckout
Move to Wish List,移动到收藏清单,module,Magento_AdvancedCheckout
No item specified.,没有指定的项。,module,Magento_AdvancedCheckout
Are you sure you want to remove this item?,你确定要删除这个产品吗？,module,Magento_AdvancedCheckout
SKU number,SKU号,module,Magento_AdvancedCheckout
Upload File,上传文件,module,Magento_AdvancedCheckout
"Your csv file must include ""sku"" and ""qty"" columns.","您的CSV文件必须包括""SKU""和""数量""列。",module,Magento_AdvancedCheckout
Reset,重置,module,Magento_AdvancedCheckout
SKU:,SKU：,module,Magento_AdvancedCheckout
"Only <span id=""%1_max_allowed"">%2</span> in stock","Only <span id=""%1_max_allowed"">%2</span> in stock",module,Magento_AdvancedCheckout
Item,个产品,module,Magento_AdvancedCheckout
See price before order confirmation.,确认订单前显示价格。,module,Magento_AdvancedCheckout
What's this?,这是什么？,module,Magento_AdvancedCheckout
Incl. Tax,含税,module,Magento_AdvancedCheckout
Excl. Tax,不含税,module,Magento_AdvancedCheckout
Edit item parameters,修改参数,module,Magento_AdvancedCheckout
Edit,编辑,module,Magento_AdvancedCheckout
Remove item,删除产品,module,Magento_AdvancedCheckout
Products Requiring Attention,产品需要注意,module,Magento_AdvancedCheckout
Add to Cart,添加到购物车,module,Magento_AdvancedCheckout
Sku,SKU,module,Magento_AdvancedCheckout
File,文件,module,Magento_AdvancedCheckout
File extensions allowed: .csv,文件扩展名允许的格式：.csv,module,Magento_AdvancedCheckout
Add Row,添加行,module,Magento_AdvancedCheckout
Remove Row,删除行,module,Magento_AdvancedCheckout
Add Products By SKU,添加产品按SKU,module,Magento_AdvancedCheckout
Shopping Cart Management,购物车管理,module,Magento_AdvancedCheckout
View Shopping Cart,查看购物车,module,Magento_AdvancedCheckout
View and modify Shopping Cart,查看和修改购物车,module,Magento_AdvancedCheckout
Order by SKU Settings,通过SKU设置顺序,module,Magento_AdvancedCheckout
Enable Order by SKU on My Account in Storefront,在我的店面帐户启用按顺序SKU,module,Magento_AdvancedCheckout
Customer Groups,客户组,module,Magento_AdvancedCheckout
Apply Coupon,申请优惠券,module,Magento_AdvancedCheckout
Order by SKU Description,通过SKU说明订购,module,Magento_AdvancedCheckout
Display a Link to Loading a Spreadsheet,加载的SKU的列表,module,Magento_AdvancedCheckout
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,定义是否链接到我的帐户＆GT;通过SKU页面顺序将显示在小部件,module,Magento_AdvancedCheckout
Link Text,链接文本,module,Magento_AdvancedCheckout
The text of the link to the My Account &gt; Order by SKU page,按SKU页排序文本链接到我的账户 &gt;,module,Magento_AdvancedCheckout
Load a list of SKUs,加载SKU清单,module,Magento_AdvancedCheckout
Order by SKU Template,通过SKU模板订单,module,Magento_AdvancedCheckout
Please correct the data sent.,请更正发送的数据。,module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,实体类型模型 '%1'未找到,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,实体模类型型必须是实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,没有可以导出的产品,module,Magento_AdvancedPricingImportExport
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,module,Magento_AdvancedRule
Sales Rule,销售规则,module,Magento_AdvancedSalesRule
Index sales rule,销售指数规则,module,Magento_AdvancedSalesRule
Related Search Terms,相关搜索关键词,module,Magento_AdvancedSearch
Add New Search Term,添加新的搜索条件,module,Magento_AdvancedSearch
button_label,按钮名称,module,Magento_AdvancedSearch
Missing search engine parameter.,缺少搜索引擎的参数。,module,Magento_AdvancedSearch
Successful! Test again?,成功了！再次测试？,module,Magento_AdvancedSearch
Connection failed! Test again?,连接失败！再次测试？,module,Magento_AdvancedSearch
Enable Search Recommendations,启用搜索建议,module,Magento_AdvancedSearch
When you enable this option your site may slow down.,当你启用这个选项你的网站可能会变慢。,module,Magento_AdvancedSearch
Search Recommendations Count,搜索建议计数,module,Magento_AdvancedSearch
Show Results Count for Each Recommendation,显示结果计算每个推荐,module,Magento_AdvancedSearch
Enable Search Suggestions,启用搜索建议,module,Magento_AdvancedSearch
Search Suggestions Count,搜索建议计数,module,Magento_AdvancedSearch
Show Results Count for Each Suggestion,显示结果计算每个建议,module,Magento_AdvancedSearch
ID,ID,module,Magento_AdvancedSearch
Search Query,搜索查询,module,Magento_AdvancedSearch
Store,商店,module,Magento_AdvancedSearch
Results,结果,module,Magento_AdvancedSearch
Uses,应用,module,Magento_AdvancedSearch
Redirect URL,重定向 URL,module,Magento_AdvancedSearch
Suggested Term,建议的期限,module,Magento_AdvancedSearch
Yes,是,module,Magento_AdvancedSearch
No,否,module,Magento_AdvancedSearch
Action,操作,module,Magento_AdvancedSearch
Edit,编辑,module,Magento_AdvancedSearch
"RPC call failed, connection timed out after %time_out.",RPC调用失败，连接%time_out后超时。,module,Magento_Amqp
Message has been rejected: %1,消息被拒绝：%1,module,Magento_Amqp
Error while checking if topic is synchronous,同时检查错误，如果话题是同步的,module,Magento_Amqp
We can't find the role for the user you wanted.,我们无法找到您想要的用户角色。,module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,出错了，同时编制允许的资源列表。你可以找到更多的例外日志。,module,Magento_Authorization
You created the order.,您已创建订单,module,Magento_Authorizenet
Order saving error: %1,订单保存错误: %1,module,Magento_Authorizenet
Please choose a payment method.,请选择支付方式,module,Magento_Authorizenet
We can't process your order right now. Please try again later.,我们现在无法处理您的订单，请稍后再试。,module,Magento_Authorizenet
Unable to place order. Please try again later.,无法处理订单，请稍后再试。,module,Magento_Authorizenet
Credit Card: xxxx-%1,信用卡：xxxx-%1,module,Magento_Authorizenet
amount %1,金额 %1,module,Magento_Authorizenet
failed.,失败。,module,Magento_Authorizenet
successful.,成功。,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net 交易记录 ID %1。,module,Magento_Authorizenet
authorize,授权,module,Magento_Authorizenet
authorize and capture,授权和获取,module,Magento_Authorizenet
capture,扣款,module,Magento_Authorizenet
refund,退款,module,Magento_Authorizenet
void,无效,module,Magento_Authorizenet
Gateway error: %1,网关错误: %1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,支付网关出错,module,Magento_Authorizenet
Invalid amount for capture.,扣款金额无效。,module,Magento_Authorizenet
Payment capturing error.,付款扣款错误。,module,Magento_Authorizenet
Invalid transaction ID.,无效的交易ID。,module,Magento_Authorizenet
Payment voiding error.,付款无效错误。,module,Magento_Authorizenet
Invalid amount for refund.,退款金额无效。,module,Magento_Authorizenet
Payment refunding error.,付款退款错误。,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,该交易被拒绝，因为响应hash验证失败。,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,此付款没有成功，因为我们找不到该订单。,module,Magento_Authorizenet
There was a payment authorization error.,出现了一个付款授权错误。,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,请输入该付款授权的交易ID。,module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,出错了：所支付的金额与订单金额不符，请改正此错误，然后重试。,module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","交易 %1 已被批准，金额 %2，交易状态是 ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","交易 %1 已作废/拒绝，交易状态是""%2""，金额 %3 。",module,Magento_Authorizenet
Authorize Only,仅供授权,module,Magento_Authorizenet
Authorize and Capture,授权和获取,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,无法获取交易记录详细信息，请稍后再试。,module,Magento_Authorizenet
Credit Card Type,信用卡类型,module,Magento_Authorizenet
Credit Card Number,信用卡卡号,module,Magento_Authorizenet
Expiration Date,到期日期,module,Magento_Authorizenet
Card Verification Number,信用卡验证码,module,Magento_Authorizenet
Fraud Detection,欺诈检测,module,Magento_Authorizenet
FDS Filter Action,FDS筛选器操作,module,Magento_Authorizenet
AVS Response,AVS响应,module,Magento_Authorizenet
Card Code Response,卡代码响应,module,Magento_Authorizenet
CAVV Response,CAVV响应,module,Magento_Authorizenet
Fraud Filters,欺诈行为过滤器,module,Magento_Authorizenet
Place Order,下订单,module,Magento_Authorizenet
Authorize.net Direct Post,Authorize.net 直连,module,Magento_Authorizenet
Enabled,启用,module,Magento_Authorizenet
Payment Action,付款操作,module,Magento_Authorizenet
Title,标题,module,Magento_Authorizenet
API Login ID,API登录 ID,module,Magento_Authorizenet
Transaction Key,交易密钥,module,Magento_Authorizenet
Merchant MD5,商户MD5,module,Magento_Authorizenet
New Order Status,新订单状态,module,Magento_Authorizenet
Test Mode,测试模式,module,Magento_Authorizenet
Gateway URL,网关网址,module,Magento_Authorizenet
Transaction Details URL,交易明细网址,module,Magento_Authorizenet
Accepted Currency,接受的货币,module,Magento_Authorizenet
Debug,调试,module,Magento_Authorizenet
Email Customer,电子邮件客户,module,Magento_Authorizenet
Merchant's Email,商户电子邮件,module,Magento_Authorizenet
Credit Card Types,信用卡类型,module,Magento_Authorizenet
Credit Card Verification,信用卡验证,module,Magento_Authorizenet
Payment from Applicable Countries,来自适用国家的付款,module,Magento_Authorizenet
Payment from Specific Countries,来自特定国家的付款,module,Magento_Authorizenet
Minimum Order Total,最小订单总额,module,Magento_Authorizenet
Maximum Order Total,最大订单金额,module,Magento_Authorizenet
Sort Order,排序订单,module,Magento_Authorizenet
Invalid Form Key. Please refresh the page.,无效的表单密钥，请刷新页面,module,Magento_Backend
You entered an invalid Secret Key. Please refresh the page.,您输入了无效的密钥，请刷新此页面。,module,Magento_Backend
Cache Storage Management,缓存存储管理,module,Magento_Backend
Flush Magento Cache,刷新Magento缓存,module,Magento_Backend
The cache storage may contain additional data. Are you sure that you want to flush it?,缓存储存可能包含其他数据？你确定要刷新它?,module,Magento_Backend
Flush Cache Storage,刷新缓存存储,module,Magento_Backend
Invalidated,无效,module,Magento_Backend
Orders,订单,module,Magento_Backend
Amounts,金额,module,Magento_Backend
Bestsellers,畅销产品,module,Magento_Backend
Most Viewed Products,热门产品,module,Magento_Backend
New Customers,新客户,module,Magento_Backend
Customers,客户,module,Magento_Backend
Customer,客户,module,Magento_Backend
Guest,访客,module,Magento_Backend
Items,产品,module,Magento_Backend
Total,总额,module,Magento_Backend
Lifetime Sales,累计销售额,module,Magento_Backend
Average Order,平均订单价值,module,Magento_Backend
Average,平均,module,Magento_Backend
Product,产品,module,Magento_Backend
Price,价格,module,Magento_Backend
Quantity,数量,module,Magento_Backend
Views,视图,module,Magento_Backend
Revenue,销售额,module,Magento_Backend
Tax,税,module,Magento_Backend
Shipping,运费,module,Magento_Backend
"Images (.gif, .jpg, .png)","图像 (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","媒体 (.avi, .flv, .swf)",module,Magento_Backend
All Files,所有文本,module,Magento_Backend
Reset to Default,重置为默认值,module,Magento_Backend
All Store Views,所有商店界面,module,Magento_Backend
What is this?,这是什么？,module,Magento_Backend
Save Account,保存账户,module,Magento_Backend
My Account,我的账户,module,Magento_Backend
Account Information,账户信息,module,Magento_Backend
User Name,用户名称,module,Magento_Backend
First Name,名字,module,Magento_Backend
Last Name,姓氏,module,Magento_Backend
Email,邮箱,module,Magento_Backend
User Email,用户邮箱,module,Magento_Backend
New Password,新密码,module,Magento_Backend
Password Confirmation,密码确认,module,Magento_Backend
Interface Locale,界面语言,module,Magento_Backend
Current User Identity Verification,当前用户身份验证,module,Magento_Backend
Your Password,你的密码,module,Magento_Backend
Save Cache Settings,保存缓存设置,module,Magento_Backend
Catalog Rewrites,产品列表,module,Magento_Backend
Refresh,刷新,module,Magento_Backend
Images Cache,图像缓存,module,Magento_Backend
Clear,清除,module,Magento_Backend
Search Index,搜索索引,module,Magento_Backend
Rebuild,重建,module,Magento_Backend
Inventory Stock Status,库存状况,module,Magento_Backend
Rebuild Catalog Index,重建目录索引,module,Magento_Backend
Rebuild Flat Catalog Category,重建平面目录类别,module,Magento_Backend
Rebuild Flat Catalog Product,重建平面目录产品,module,Magento_Backend
Cache Control,缓存控制,module,Magento_Backend
All Cache,所有缓存,module,Magento_Backend
No change,无改变,module,Magento_Backend
Disable,禁用,module,Magento_Backend
Enable,启用,module,Magento_Backend
Add Design Change,添加设计更改,module,Magento_Backend
Back,后退,module,Magento_Backend
Delete,删除,module,Magento_Backend
Are you sure?,您确定吗？,module,Magento_Backend
Save,保存,module,Magento_Backend
Edit Design Change,修改界面设计,module,Magento_Backend
New Store Design Change,新店界面设计,module,Magento_Backend
General Settings,基本设置,module,Magento_Backend
Store,商店,module,Magento_Backend
-- Please Select --,-- 请选择 --,module,Magento_Backend
Custom Design,自定义设计,module,Magento_Backend
Date From,开始日期,module,Magento_Backend
Date To,结束日期,module,Magento_Backend
Design Change,界面设计,module,Magento_Backend
General,基本设置,module,Magento_Backend
Cancel,取消,module,Magento_Backend
Delete %1 '%2',删除 %1 '%2',module,Magento_Backend
Delete %1,删除 %1,module,Magento_Backend
Block Information,块信息,module,Magento_Backend
Backup Options,备份选项,module,Magento_Backend
Create DB Backup,创建DB备份,module,Magento_Backend
Yes,是,module,Magento_Backend
No,否,module,Magento_Backend
Delete Store,删除商店,module,Magento_Backend
Delete Web Site,删除网站,module,Magento_Backend
Save Web Site,保存网站,module,Magento_Backend
Save Store,保存商店,module,Magento_Backend
Save Store View,保存商店界面,module,Magento_Backend
Delete Store View,删除商店界面,module,Magento_Backend
Edit Web Site,编辑网站,module,Magento_Backend
New Web Site,新建站点,module,Magento_Backend
Edit Store,编辑商店,module,Magento_Backend
New Store,新建商店,module,Magento_Backend
Edit Store View,编辑商店界面,module,Magento_Backend
New Store View,新商店界面,module,Magento_Backend
Store Information,店铺信息,module,Magento_Backend
Web Site,网站,module,Magento_Backend
Name,名字,module,Magento_Backend
Root Category,根目录,module,Magento_Backend
Default Store View,默认商店界面,module,Magento_Backend
Store View Information,商店界面信息,module,Magento_Backend
Code,代码,module,Magento_Backend
Status,状态,module,Magento_Backend
Disabled,禁用,module,Magento_Backend
Enabled,启用,module,Magento_Backend
Sort Order,排序订单,module,Magento_Backend
Web Site Information,网站信息,module,Magento_Backend
Default Store,默认商店,module,Magento_Backend
Set as Default,默认设置,module,Magento_Backend
Stores,商店,module,Magento_Backend
Create Website,创建网站,module,Magento_Backend
Create Store,创建商店,module,Magento_Backend
Create Store View,创建商店界面,module,Magento_Backend
Home,首页,module,Magento_Backend
Reset,重置,module,Magento_Backend
Are you sure you want to do this?,您确定要这么做吗？,module,Magento_Backend
Add New Image,添加新图像,module,Magento_Backend
Export block for grid %1 is not defined,网格%1导出块没有定义,module,Magento_Backend
Reset Filter,重设过滤器,module,Magento_Backend
Search,搜索,module,Magento_Backend
Any,任何,module,Magento_Backend
All Countries,所有国家,module,Magento_Backend
From,从,module,Magento_Backend
To,至,module,Magento_Backend
Date selector,日期选择器,module,Magento_Backend
[ deleted ],[ 已删除 ],module,Magento_Backend
Select All,选择全部,module,Magento_Backend
[deleted],[删除],module,Magento_Backend
We couldn't find any records.,我们找不到任何记录。,module,Magento_Backend
Add New,新加,module,Magento_Backend
Invalid export type supplied for grid export block,并网出口块提供了无效的出口型,module,Magento_Backend
Export,导出,module,Magento_Backend
Please correct the column format and try again.,请更正该列格式，然后再试一次,module,Magento_Backend
Please select items.,请选择产品,module,Magento_Backend
Submit,提交,module,Magento_Backend
Unknown block type,未知块类型,module,Magento_Backend
Please correct the tab configuration and try again. Tab Id should be not empty,请更正标签配置，然后再试一次。标签标识不应该是空的,module,Magento_Backend
Please correct the tab configuration and try again.,请更正标签配置，并再次尝试,module,Magento_Backend
You have logged out.,您已经登出,module,Magento_Backend
Specified cache type(s) don't exist: %1,指定的缓存类型不存在: %1,module,Magento_Backend
The image cache was cleaned.,图像缓存被清理,module,Magento_Backend
